"snapshot","country","tanks_cum","all_units_cum","trucks_cum","units_no_trucks_cum","year","tanks_year","all_units_year","trucks_year","units_no_trucks_year","period_start","period_end","days","tanks_per_day","units_no_trucks_per_day","partial"
"2022-end","Russia",1600,8560,2156,6404,"2022",1599,8560,2147,6413,2022-02-24,2022-12-31,311,5.14147909967846,20.620578778135,FALSE
"2023-end","Russia",2608,13728,3060,10668,"2023",1008,5168,904,4264,2023-01-01,2023-12-31,365,2.76164383561644,11.6821917808219,FALSE
"2024-end","Russia",3668,19712,3774,15938,"2024",1060,5984,714,5270,2024-01-01,2024-12-31,366,2.89617486338798,14.3989071038251,FALSE
"2025-end","Russia",4301,23812,4419,19393,"2025",633,4100,645,3455,2025-01-01,2025-12-31,365,1.73424657534247,9.46575342465753,FALSE
"current","Russia",4407,23703,4554,19149,"2026",106,-109,135,-244,2026-01-01,2026-06-28,179,0.592178770949721,-1.36312849162011,TRUE
"2022-end","Ukraine",439,2677,478,2199,"2022",438,2677,462,2215,2022-02-24,2022-12-31,311,1.40836012861736,7.12218649517685,FALSE
"2023-end","Ukraine",722,4914,769,4145,"2023",283,2237,291,1946,2023-01-01,2023-12-31,365,0.775342465753425,5.33150684931507,FALSE
"2024-end","Ukraine",1015,7399,1039,6360,"2024",293,2485,270,2215,2024-01-01,2024-12-31,366,0.800546448087432,6.05191256830601,FALSE
"2025-end","Ukraine",1370,10937,1286,9651,"2025",355,3538,247,3291,2025-01-01,2025-12-31,365,0.972602739726027,9.01643835616438,FALSE
"current","Ukraine",1437,11629,1368,10261,"2026",67,692,82,610,2026-01-01,2026-06-28,179,0.374301675977654,3.40782122905028,TRUE
