"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",1219,232,922,41,2414,"2022-04-04"
"2","Russia","Tanks",197,42,171,6,416,"2022-04-04"
"3","Russia","Armoured Fighting Vehicles",132,32,116,0,280,"2022-04-04"
"4","Russia","Infantry Fighting Vehicles",218,31,148,2,399,"2022-04-04"
"5","Russia","Armoured Personnel Carriers",21,17,45,1,84,"2022-04-04"
"6","Russia","Mine-Resistant Ambush Protected",9,3,5,0,17,"2022-04-04"
"7","Russia","Infantry Mobility Vehicles",45,5,23,2,75,"2022-04-04"
"8","Russia","Communications Stations",4,5,6,0,15,"2022-04-04"
"9","Russia","Engineering Vehicles And Equipment",25,13,37,0,75,"2022-04-04"
"10","Russia","Heavy Mortars",3,0,8,0,11,"2022-04-04"
"11","Russia","Towed Artillery",10,5,30,4,49,"2022-04-04"
"12","Russia","Self-Propelled Artillery",26,14,33,3,76,"2022-04-04"
"13","Russia","Multiple Rocket Launchers",18,5,23,0,46,"2022-04-04"
"14","Russia","Anti-Aircraft Guns",0,0,3,0,3,"2022-04-04"
"15","Russia","Self-Propelled Anti-Aircraft Guns",5,3,3,0,11,"2022-04-04"
"16","Russia","Surface-To-Air Missile Systems",22,7,13,1,43,"2022-04-04"
"17","Russia","Radars",1,0,4,0,5,"2022-04-04"
"18","Russia","Jammers And Deception Systems",2,0,2,2,6,"2022-04-04"
"19","Russia","Aircraft",18,0,0,1,19,"2022-04-04"
"20","Russia","Helicopters",33,1,1,3,38,"2022-04-04"
"21","Russia","Unmanned Aerial Vehicles",14,0,7,0,21,"2022-04-04"
"22","Russia","Naval Ships",1,0,0,2,3,"2022-04-04"
"23","Russia","Logistics Trains",2,0,0,0,2,"2022-04-04"
"24","Russia","Trucks, Vehicles and Jeeps",413,59,213,16,701,"2022-04-04"
"25","Ukraine","All Types",299,37,323,19,678,"2022-04-04"
"26","Ukraine","Tanks",36,9,44,2,91,"2022-04-04"
"27","Ukraine","Armoured Fighting Vehicles",26,4,35,0,65,"2022-04-04"
"28","Ukraine","Infantry Fighting Vehicles",33,9,30,2,74,"2022-04-04"
"29","Ukraine","Armoured Personnel Carriers",5,2,22,1,30,"2022-04-04"
"30","Ukraine","Infantry Mobility Vehicles",15,1,31,1,48,"2022-04-04"
"31","Ukraine","Engineering Vehicles",2,0,7,0,9,"2022-04-04"
"32","Ukraine","Towed Artillery",8,3,11,3,25,"2022-04-04"
"33","Ukraine","Self-Propelled Artillery",11,1,7,1,20,"2022-04-04"
"34","Ukraine","Multiple Rocket Launchers",7,0,5,0,12,"2022-04-04"
"35","Ukraine","Anti-Aircraft Guns",0,0,2,0,2,"2022-04-04"
"36","Ukraine","Self-Propelled Anti-Aircraft Guns
",0,0,1,0,1,"2022-04-04"
"37","Ukraine","Surface-To-Air Missile Systems
",30,1,5,0,36,"2022-04-04"
"38","Ukraine","Radars And Communications Equipment",9,1,4,3,17,"2022-04-04"
"39","Ukraine","Aircraft",11,0,0,1,12,"2022-04-04"
"40","Ukraine","Helicopters",2,0,0,0,2,"2022-04-04"
"41","Ukraine","Unmanned Aerial Vehicles",11,0,2,0,13,"2022-04-04"
"42","Ukraine","Naval Ships",2,0,12,0,14,"2022-04-04"
"43","Ukraine","Trucks, Vehicles and Jeeps",78,5,117,5,205,"2022-04-04"
