"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",37.939,32.53511,300.66,0.48,0.4,"2022-09-08",1,1,"nominal","2.0NRT",286.53,0.91,"N"
"2",38.75389,26.95061,304.34,0.39,0.37,"2022-09-08",1,1,"nominal","2.0NRT",291.84,0.77,"N"
"3",38.75056,26.94983,311.11,0.39,0.37,"2022-09-08",1,1,"nominal","2.0NRT",292.62,0.77,"N"
"4",34.86346,44.01991,315.96,0.74,0.76,"2022-09-08",1,1,"nominal","2.0NRT",293.38,2.64,"N"
"5",38.74392,26.94829,302.81,0.39,0.37,"2022-09-08",1,1,"nominal","2.0NRT",292.39,0.79,"N"
"6",38.73469,26.96473,313.83,0.39,0.36,"2022-09-08",1,1,"nominal","2.0NRT",291.99,1.03,"N"
"7",38.73226,26.96654,309.96,0.39,0.36,"2022-09-08",1,1,"nominal","2.0NRT",292.22,0.76,"N"
"8",37.02384,36.10954,304.59,0.49,0.49,"2022-09-08",1,1,"nominal","2.0NRT",294.2,1.18,"N"
"9",34.8636,44.02087,315.63,0.74,0.76,"2022-09-08",1,1,"nominal","2.0NRT",293.23,3.18,"N"
"10",35.00452,43.48861,311.33,0.69,0.74,"2022-09-08",1,1,"nominal","2.0NRT",296.25,3.11,"N"
"11",34.90108,43.80231,344.74,0.72,0.75,"2022-09-08",1,1,"nominal","2.0NRT",294.68,5.88,"N"
"12",34.89881,43.80971,306.58,0.72,0.75,"2022-09-08",1,1,"nominal","2.0NRT",294.64,8.36,"N"
"13",34.8945,43.79953,315.49,0.72,0.75,"2022-09-08",1,1,"nominal","2.0NRT",293.81,5.88,"N"
"14",37.89806,30.49317,306.39,0.41,0.37,"2022-09-08",1,1,"nominal","2.0NRT",286.72,1.03,"N"
"15",36.73206,36.20779,308.38,0.5,0.49,"2022-09-08",1,1,"nominal","2.0NRT",296.53,2.77,"N"
"16",36.73018,36.1955,321.74,0.5,0.49,"2022-09-08",1,1,"nominal","2.0NRT",297.4,3.13,"N"
"17",38.42659,27.21722,316.14,0.39,0.36,"2022-09-08",1,1,"nominal","2.0NRT",294.51,1.77,"N"
"18",36.71897,36.20311,322.65,0.5,0.49,"2022-09-08",1,1,"nominal","2.0NRT",295.47,3.34,"N"
"19",36.72021,36.19777,311.49,0.5,0.49,"2022-09-08",1,1,"nominal","2.0NRT",295.95,4.41,"N"
