"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",15.73683,30.70238,337.96,0.53,0.5,"2025-02-15",1042,"N20","nominal","2.0NRT",305.02,5.46,"D"
"2",18.55874,31.89859,341.02,0.4,0.44,"2025-02-15",1042,"N20","nominal","2.0NRT",307.49,4.46,"D"
"3",18.87945,33.53988,346.34,0.48,0.4,"2025-02-15",1042,"N20","nominal","2.0NRT",310.25,4.86,"D"
"4",23.04931,47.23695,341.93,0.44,0.63,"2025-02-15",1045,"N20","nominal","2.0NRT",288.05,7.36,"D"
"5",23.94983,38.279,333.1,0.42,0.38,"2025-02-15",1045,"N20","low","2.0NRT",305.32,2.66,"D"
"6",24.58106,32.97946,334.94,0.44,0.38,"2025-02-15",1045,"N20","nominal","2.0NRT",303.61,4.09,"D"
"7",24.58238,32.98059,333.08,0.44,0.38,"2025-02-15",1045,"N20","nominal","2.0NRT",303.44,3.91,"D"
"8",25.01859,32.81056,333.25,0.44,0.38,"2025-02-15",1045,"N20","low","2.0NRT",306.58,2.38,"D"
"9",25.36664,32.53065,330.4,0.45,0.39,"2025-02-15",1045,"N20","nominal","2.0NRT",298.38,1.99,"D"
"10",25.96881,32.81948,333.63,0.43,0.38,"2025-02-15",1045,"N20","nominal","2.0NRT",302.29,3.59,"D"
"11",27.00005,31.3383,333.05,0.48,0.4,"2025-02-15",1045,"N20","nominal","2.0NRT",295.74,3.89,"D"
"12",27.16811,31.01461,332.87,0.49,0.4,"2025-02-15",1045,"N20","low","2.0NRT",304.4,2.44,"D"
"13",27.84846,30.79684,330.23,0.49,0.4,"2025-02-15",1047,"N20","nominal","2.0NRT",296.25,3.37,"D"
"14",27.82662,30.67846,339.99,0.5,0.41,"2025-02-15",1047,"N20","nominal","2.0NRT",303.1,4.96,"D"
"15",30.55302,47.34311,331.08,0.53,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",273.6,2.31,"D"
"16",30.60898,47.33415,342.43,0.53,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",290.8,8.6,"D"
"17",30.60866,47.32851,356.33,0.53,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",297.95,8.6,"D"
"18",30.60671,47.33137,367,0.53,0.67,"2025-02-15",1047,"N20","high","2.0NRT",293.3,10.22,"D"
"19",30.59337,46.7291,340.96,0.49,0.65,"2025-02-15",1047,"N20","nominal","2.0NRT",291.56,3.86,"D"
"20",30.82441,47.33126,353.85,0.53,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",294.34,9.32,"D"
"21",29.17575,32.54588,336.28,0.41,0.37,"2025-02-15",1047,"N20","nominal","2.0NRT",302.05,1.74,"D"
"22",29.17843,32.541,335.4,0.41,0.37,"2025-02-15",1047,"N20","nominal","2.0NRT",302.3,1.04,"D"
"23",28.84655,30.53279,338.72,0.49,0.4,"2025-02-15",1047,"N20","nominal","2.0NRT",306.02,3.58,"D"
"24",28.8458,30.53533,333.91,0.49,0.4,"2025-02-15",1047,"N20","low","2.0NRT",304.35,3.77,"D"
"25",30.82223,47.33401,335.96,0.54,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",291.79,3.8,"D"
"26",30.82849,47.33361,330.15,0.54,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",292.24,3.8,"D"
"27",30.87889,47.33617,367,0.54,0.68,"2025-02-15",1047,"N20","high","2.0NRT",302.5,19.84,"D"
"28",30.97551,49.52515,334.14,0.72,0.76,"2025-02-15",1047,"N20","nominal","2.0NRT",288.58,6.32,"D"
"29",30.97525,49.51771,338.42,0.72,0.76,"2025-02-15",1047,"N20","nominal","2.0NRT",288.31,7.57,"D"
"30",30.87859,47.33046,346.91,0.54,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",304.96,19.84,"D"
"31",30.98511,49.59634,351.56,0.73,0.76,"2025-02-15",1047,"N20","nominal","2.0NRT",291.63,9.32,"D"
"32",30.98253,49.52415,344.77,0.72,0.76,"2025-02-15",1047,"N20","nominal","2.0NRT",289.73,11.11,"D"
"33",30.98228,49.51718,345.27,0.72,0.76,"2025-02-15",1047,"N20","nominal","2.0NRT",290.69,11.91,"D"
"34",30.88516,47.33578,344.51,0.54,0.68,"2025-02-15",1047,"N20","nominal","2.0NRT",302.07,6.04,"D"
"35",31.02814,47.70825,343.41,0.56,0.69,"2025-02-15",1047,"N20","nominal","2.0NRT",296.55,4.79,"D"
"36",31.02459,47.28059,343.14,0.53,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",276.46,56.1,"D"
"37",31.0621,47.62233,367,0.56,0.69,"2025-02-15",1047,"N20","high","2.0NRT",297.24,14.81,"D"
"38",31.02254,47.28362,337.34,0.53,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",282.29,32.4,"D"
"39",31.02282,47.2893,356.16,0.53,0.67,"2025-02-15",1047,"N20","low","2.0NRT",277.03,32.4,"D"
"40",31.02908,47.2889,337.95,0.53,0.67,"2025-02-15",1047,"N20","nominal","2.0NRT",284.24,8.42,"D"
"41",31.06402,47.61959,367,0.56,0.69,"2025-02-15",1047,"N20","high","2.0NRT",299.54,13.43,"D"
"42",31.08508,47.79376,367,0.57,0.69,"2025-02-15",1047,"N20","high","2.0NRT",297.98,14.9,"D"
