"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",51.26081,37.75971,307.69,0.57,0.52,"2022-10-19",26,1,"nominal","2.0NRT",279.05,3.39,"N"
"2",51.13892,37.93033,311.04,0.58,0.52,"2022-10-19",26,1,"nominal","2.0NRT",264.71,1.3,"N"
"3",51.13881,37.93196,303.24,0.59,0.52,"2022-10-19",26,1,"nominal","2.0NRT",264.68,2.16,"N"
"4",50.50325,36.62868,310.38,0.54,0.51,"2022-10-19",26,1,"nominal","2.0NRT",261.39,1.57,"N"
"5",50.00356,37.83076,295.8,0.63,0.54,"2022-10-19",26,1,"nominal","2.0NRT",270.46,1.07,"N"
"6",48.46081,38.77376,322.96,0.39,0.59,"2022-10-19",28,1,"nominal","2.0NRT",280.17,1.75,"N"
"7",48.46667,38.75452,300.03,0.38,0.59,"2022-10-19",28,1,"nominal","2.0NRT",281.35,1.61,"N"
"8",48.4632,38.77558,326.05,0.39,0.59,"2022-10-19",28,1,"nominal","2.0NRT",280.55,2.36,"N"
"9",48.46755,38.76099,303.14,0.38,0.59,"2022-10-19",28,1,"nominal","2.0NRT",282.53,1.56,"N"
"10",48.46405,38.75266,299.75,0.38,0.59,"2022-10-19",28,1,"nominal","2.0NRT",281.2,1.69,"N"
"11",50.64298,28.18365,307.07,0.42,0.37,"2022-10-19",28,1,"nominal","2.0NRT",273.01,0.9,"N"
"12",48.05953,37.954,297.83,0.37,0.58,"2022-10-19",28,1,"nominal","2.0NRT",279.68,0.84,"N"
"13",47.83303,38.47165,297.04,0.39,0.59,"2022-10-19",28,1,"nominal","2.0NRT",277.83,0.98,"N"
"14",48.53157,34.64521,313.63,0.51,0.49,"2022-10-19",28,1,"nominal","2.0NRT",270.72,3.22,"N"
"15",47.23825,38.9303,300.87,0.43,0.62,"2022-10-19",28,1,"nominal","2.0NRT",276.56,0.59,"N"
"16",47.86842,33.42876,302.33,0.47,0.48,"2022-10-19",28,1,"nominal","2.0NRT",276.63,1,"N"
"17",48.74975,26.6022,298.39,0.4,0.37,"2022-10-19",28,1,"nominal","2.0NRT",276.37,1.19,"N"
"18",44.12777,42.0047,303.4,0.74,0.76,"2022-10-19",28,1,"nominal","2.0NRT",280.23,2.05,"N"
"19",44.12779,42.00528,302.46,0.74,0.76,"2022-10-19",28,1,"nominal","2.0NRT",280.08,3.36,"N"
"20",46.89803,26.02978,303.05,0.41,0.37,"2022-10-19",28,1,"nominal","2.0NRT",279.9,0.86,"N"
"21",44.7729,33.85658,296.25,0.6,0.53,"2022-10-19",28,1,"nominal","2.0NRT",277.86,0.67,"N"
"22",45.37769,30.92732,333.23,0.43,0.46,"2022-10-19",28,1,"nominal","2.0NRT",288.85,2.93,"N"
"23",45.37369,30.92543,337.06,0.43,0.46,"2022-10-19",28,1,"nominal","2.0NRT",288.15,2.93,"N"
"24",45.37247,30.93065,299.28,0.43,0.46,"2022-10-19",28,1,"nominal","2.0NRT",287.96,4.26,"N"
"25",44.22236,27.29893,309.79,0.48,0.4,"2022-10-19",30,1,"nominal","2.0NRT",278.95,1.79,"N"
"26",44.12775,26.58523,296.75,0.46,0.39,"2022-10-19",30,1,"nominal","2.0NRT",274.56,0.87,"N"
"27",41.17827,32.63117,299.99,0.33,0.55,"2022-10-19",30,1,"nominal","2.0NRT",282.63,1.06,"N"
"28",41.17725,32.63502,312.14,0.33,0.55,"2022-10-19",30,1,"nominal","2.0NRT",283.59,1.06,"N"
"29",41.17352,32.62867,299.28,0.33,0.55,"2022-10-19",30,1,"nominal","2.0NRT",281.5,0.7,"N"
"30",37.56087,37.06065,307.41,0.7,0.75,"2022-10-19",30,1,"nominal","2.0NRT",282.07,2.51,"N"
"31",37.56549,37.06304,309.28,0.7,0.75,"2022-10-19",30,1,"nominal","2.0NRT",281.66,2.47,"N"
"32",38.75365,26.9503,306.31,0.39,0.44,"2022-10-19",30,1,"nominal","2.0NRT",287.22,0.77,"N"
"33",38.74584,26.94742,298.95,0.39,0.44,"2022-10-19",30,1,"nominal","2.0NRT",286.34,0.71,"N"
"34",38.74476,26.93288,303.22,0.39,0.44,"2022-10-19",30,1,"nominal","2.0NRT",285.95,0.42,"N"
"35",38.73801,26.94468,311.03,0.39,0.44,"2022-10-19",30,1,"nominal","2.0NRT",291.39,1.85,"N"
"36",38.73331,26.96642,309.03,0.39,0.44,"2022-10-19",30,1,"nominal","2.0NRT",287.2,0.89,"N"
"37",37.25277,30.4406,300.25,0.32,0.55,"2022-10-19",30,1,"nominal","2.0NRT",282.48,0.87,"N"
"38",31.47632,31.74552,306.38,0.53,0.67,"2022-10-19",33,1,"nominal","2.0NRT",288.88,1.57,"N"
"39",30.70404,33.85038,322.31,0.73,0.76,"2022-10-19",33,1,"nominal","2.0NRT",290.9,4.73,"N"
