"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",57.14563,39.53419,340.56,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",270.48,5.86,"N"
"2",57.14788,39.5328,331.74,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",267.88,4.88,"N"
"3",57.14495,39.5401,297.14,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",269.25,3.92,"N"
"4",58.38956,33.87193,295.31,0.33,0.55,"2023-04-21",115,1,"nominal","2.0NRT",275.18,0.68,"N"
"5",55.12432,38.04126,307.29,0.6,0.71,"2023-04-21",115,1,"nominal","2.0NRT",275.15,1.58,"N"
"6",55.52119,34.55323,295.79,0.45,0.63,"2023-04-21",115,1,"nominal","2.0NRT",272.69,0.7,"N"
"7",54.30158,35.8377,299.34,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",272.62,1.29,"N"
"8",55.15971,33.44915,295.78,0.42,0.61,"2023-04-21",115,1,"nominal","2.0NRT",270.8,1.15,"N"
"9",55.13291,33.18513,301.57,0.42,0.61,"2023-04-21",115,1,"nominal","2.0NRT",273.04,1.87,"N"
"10",54.11179,35.8245,302.36,0.56,0.69,"2023-04-21",115,1,"nominal","2.0NRT",274.08,0.97,"N"
"11",54.16245,35.61332,303.64,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",274.28,1.21,"N"
"12",54.11456,35.82543,308.76,0.56,0.69,"2023-04-21",115,1,"nominal","2.0NRT",273.7,1.39,"N"
"13",54.16206,35.59974,295.82,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",275.03,1.33,"N"
"14",54.15927,35.60713,299.68,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",274.35,2.48,"N"
"15",54.08429,35.6261,312.71,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",274.08,2.3,"N"
"16",54.04279,35.71498,299.13,0.56,0.69,"2023-04-21",115,1,"nominal","2.0NRT",274.94,0.75,"N"
"17",54.09023,35.55111,295.4,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",274,0.69,"N"
"18",54.08211,35.57242,296.32,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",274.24,0.86,"N"
"19",55.62521,31.13117,302.87,0.34,0.56,"2023-04-21",115,1,"nominal","2.0NRT",270.8,1.1,"N"
"20",55.61916,31.13151,312.72,0.34,0.56,"2023-04-21",115,1,"nominal","2.0NRT",270.52,1.07,"N"
"21",55.61765,31.13626,301.11,0.34,0.56,"2023-04-21",115,1,"nominal","2.0NRT",270.37,1.07,"N"
"22",54.96152,33.11274,298.89,0.42,0.61,"2023-04-21",115,1,"nominal","2.0NRT",274.49,0.98,"N"
"23",55.62325,31.12667,297.88,0.34,0.56,"2023-04-21",115,1,"nominal","2.0NRT",270.21,0.75,"N"
"24",55.62175,31.13147,298.64,0.34,0.56,"2023-04-21",115,1,"nominal","2.0NRT",269.77,0.75,"N"
"25",55.62025,31.13625,311.58,0.34,0.56,"2023-04-21",115,1,"nominal","2.0NRT",270.1,0.83,"N"
"26",54.08029,35.62211,312.33,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",274.4,1.77,"N"
"27",54.0445,35.71728,299.44,0.56,0.69,"2023-04-21",115,1,"nominal","2.0NRT",274.79,1.06,"N"
"28",55.61572,31.13177,303.18,0.34,0.56,"2023-04-21",115,1,"nominal","2.0NRT",270.91,0.83,"N"
"29",54.08332,35.57398,297.94,0.55,0.68,"2023-04-21",115,1,"nominal","2.0NRT",273.95,0.72,"N"
"30",54.56202,33.9331,299.22,0.46,0.64,"2023-04-21",115,1,"nominal","2.0NRT",273.17,0.81,"N"
"31",54.56205,33.93427,299.18,0.46,0.64,"2023-04-21",115,1,"nominal","2.0NRT",273.08,0.73,"N"
"32",55.41056,31.35882,301.49,0.35,0.57,"2023-04-21",115,1,"nominal","2.0NRT",272.29,0.83,"N"
"33",53.92664,35.47694,306.91,0.56,0.68,"2023-04-21",115,1,"nominal","2.0NRT",276.47,1.55,"N"
"34",55.05794,32.27241,307.11,0.39,0.59,"2023-04-21",115,1,"nominal","2.0NRT",272.91,1.38,"N"
"35",54.86697,32.51339,312.57,0.4,0.6,"2023-04-21",115,1,"nominal","2.0NRT",272.48,1.34,"N"
"36",54.85568,32.54697,301.48,0.41,0.6,"2023-04-21",115,1,"nominal","2.0NRT",271.7,1.25,"N"
"37",54.85277,32.5364,299.71,0.41,0.6,"2023-04-21",115,1,"nominal","2.0NRT",272.19,1.25,"N"
"38",54.52805,33.30758,302.9,0.44,0.63,"2023-04-21",115,1,"nominal","2.0NRT",273.22,0.94,"N"
"39",54.53146,33.31157,301.7,0.44,0.63,"2023-04-21",115,1,"nominal","2.0NRT",272.46,0.67,"N"
"40",54.71868,32.18387,300.24,0.4,0.6,"2023-04-21",115,1,"nominal","2.0NRT",273.78,0.66,"N"
"41",54.91817,31.3897,295.6,0.37,0.58,"2023-04-21",115,1,"nominal","2.0NRT",273.19,0.5,"N"
"42",54.91503,31.15555,305.25,0.36,0.57,"2023-04-21",115,1,"nominal","2.0NRT",272.31,0.76,"N"
"43",54.42625,32.45853,295.03,0.42,0.61,"2023-04-21",115,1,"nominal","2.0NRT",273.4,0.68,"N"
"44",54.84035,31.17922,297.26,0.36,0.58,"2023-04-21",115,1,"nominal","2.0NRT",271.06,0.46,"N"
"45",55.53223,28.52022,296.77,0.55,0.51,"2023-04-21",115,1,"nominal","2.0NRT",273.75,0.68,"N"
"46",54.39969,32.13417,295.22,0.41,0.6,"2023-04-21",115,1,"nominal","2.0NRT",272.74,1.03,"N"
"47",54.39297,32.13496,305.47,0.41,0.6,"2023-04-21",115,1,"nominal","2.0NRT",273.19,1.23,"N"
"48",54.35609,32.187,297.94,0.41,0.61,"2023-04-21",115,1,"nominal","2.0NRT",272.36,0.86,"N"
"49",54.3433,32.16715,298.09,0.41,0.61,"2023-04-21",115,1,"nominal","2.0NRT",271.9,0.35,"N"
"50",53.5281,34.27381,312.43,0.52,0.67,"2023-04-21",115,1,"nominal","2.0NRT",277.25,1.23,"N"
"51",53.83949,33.152,298.82,0.47,0.64,"2023-04-21",115,1,"nominal","2.0NRT",273.02,0.66,"N"
"52",53.83865,33.15598,308,0.47,0.64,"2023-04-21",115,1,"nominal","2.0NRT",273.68,1.15,"N"
"53",54.21246,31.86511,314.11,0.41,0.6,"2023-04-21",115,1,"nominal","2.0NRT",270.97,1.5,"N"
"54",53.731,33.26609,295.55,0.47,0.64,"2023-04-21",115,1,"nominal","2.0NRT",275.13,0.65,"N"
"55",54.14912,31.57243,298.4,0.4,0.6,"2023-04-21",115,1,"nominal","2.0NRT",273.9,0.68,"N"
"56",54.14428,31.56784,306.21,0.4,0.6,"2023-04-21",115,1,"nominal","2.0NRT",273.94,0.68,"N"
"57",53.02477,34.60668,306.61,0.56,0.69,"2023-04-21",115,1,"nominal","2.0NRT",272.93,1.58,"N"
"58",53.27837,33.64057,303.52,0.51,0.66,"2023-04-21",115,1,"nominal","2.0NRT",275.62,0.92,"N"
"59",53.27682,33.63828,298.51,0.51,0.66,"2023-04-21",115,1,"nominal","2.0NRT",275.45,0.95,"N"
"60",53.25522,33.59901,295.33,0.51,0.66,"2023-04-21",115,1,"nominal","2.0NRT",275.37,0.63,"N"
"61",53.25282,33.60566,297.65,0.51,0.66,"2023-04-21",115,1,"nominal","2.0NRT",274.58,0.63,"N"
"62",53.88618,31.49292,298.15,0.4,0.6,"2023-04-21",115,1,"nominal","2.0NRT",274.7,0.61,"N"
"63",53.17145,33.44904,328.53,0.51,0.66,"2023-04-21",115,1,"nominal","2.0NRT",275.64,3.83,"N"
"64",53.16908,33.45565,297.68,0.51,0.66,"2023-04-21",115,1,"nominal","2.0NRT",275.63,3.07,"N"
"65",53.15903,33.28615,296.54,0.5,0.66,"2023-04-21",115,1,"nominal","2.0NRT",277.15,0.66,"N"
"66",52.97209,33.77889,310.93,0.53,0.67,"2023-04-21",115,1,"nominal","2.0NRT",277,1.11,"N"
"67",53.16203,33.28841,296.08,0.5,0.66,"2023-04-21",115,1,"nominal","2.0NRT",277.03,0.77,"N"
"68",52.97188,33.77828,319.25,0.53,0.67,"2023-04-21",115,1,"nominal","2.0NRT",277.29,1.75,"N"
"69",52.96655,33.77295,314.03,0.53,0.67,"2023-04-21",115,1,"nominal","2.0NRT",276.56,1.75,"N"
"70",52.7396,33.27712,302.98,0.52,0.67,"2023-04-21",117,1,"nominal","2.0NRT",275.56,1.31,"N"
"71",53.206,31.75341,301.13,0.44,0.62,"2023-04-21",117,1,"nominal","2.0NRT",275.12,0.78,"N"
"72",53.20329,31.75287,299.91,0.44,0.62,"2023-04-21",117,1,"nominal","2.0NRT",275.57,0.64,"N"
"73",53.01427,31.99319,301.18,0.45,0.63,"2023-04-21",117,1,"nominal","2.0NRT",275.35,1.13,"N"
"74",53.0187,31.99797,296.55,0.45,0.63,"2023-04-21",117,1,"nominal","2.0NRT",275.22,0.69,"N"
"75",53.01361,31.99317,298.03,0.45,0.63,"2023-04-21",117,1,"nominal","2.0NRT",275.4,0.69,"N"
"76",53.10403,31.47141,295.31,0.43,0.62,"2023-04-21",117,1,"nominal","2.0NRT",275.61,0.53,"N"
"77",52.84684,29.99102,318.21,0.39,0.59,"2023-04-21",117,1,"nominal","2.0NRT",279.72,1.82,"N"
"78",44.16774,133.80817,329.59,0.74,0.76,"2023-04-21",238,1,"nominal","2.0NRT",278.69,6.36,"D"
"79",44.16615,133.80602,328.58,0.74,0.76,"2023-04-21",238,1,"nominal","2.0NRT",279.44,7.04,"D"
"80",44.88709,133.69316,334.87,0.71,0.75,"2023-04-21",238,1,"nominal","2.0NRT",279.33,5.05,"D"
"81",44.8893,133.69476,325.33,0.71,0.75,"2023-04-21",238,1,"nominal","2.0NRT",278.01,6.34,"D"
"82",44.88922,132.97084,356.37,0.76,0.77,"2023-04-21",238,1,"low","2.0NRT",281.4,12.32,"D"
