"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",14.20414,30.29585,313.34,0.5,0.49,"2022-11-22",0,1,"nominal","2.0NRT",291.69,1.65,"N"
"2",12.68773,34.92986,302.27,0.55,0.68,"2022-11-22",0,1,"nominal","2.0NRT",289.97,0.68,"N"
"3",13.39848,28.33853,302.41,0.39,0.44,"2022-11-22",0,1,"nominal","2.0NRT",290.43,0.36,"N"
"4",13.3945,28.33779,301.5,0.39,0.44,"2022-11-22",0,1,"nominal","2.0NRT",290.3,0.36,"N"
"5",12.02398,34.88437,313.88,0.56,0.69,"2022-11-22",0,1,"nominal","2.0NRT",289.71,2.5,"N"
"6",12.02296,34.88942,302.29,0.56,0.69,"2022-11-22",0,1,"nominal","2.0NRT",289.51,1.29,"N"
"7",11.79419,32.72795,367,0.41,0.6,"2022-11-22",0,1,"high","2.0NRT",294,6.54,"N"
"8",11.79489,32.7243,306.05,0.4,0.6,"2022-11-22",0,1,"nominal","2.0NRT",289.33,7.18,"N"
"9",11.78872,32.72685,343.41,0.41,0.6,"2022-11-22",0,1,"nominal","2.0NRT",290.87,6.54,"N"
"10",11.98903,31.04489,302.54,0.62,0.54,"2022-11-22",0,1,"nominal","2.0NRT",291.93,1.46,"N"
"11",11.37062,32.53215,301.41,0.4,0.6,"2022-11-22",0,1,"nominal","2.0NRT",288.88,0.81,"N"
"12",11.21948,32.22029,307.11,0.38,0.59,"2022-11-22",0,1,"nominal","2.0NRT",289.41,0.69,"N"
"13",11.49358,30.07219,305.99,0.54,0.51,"2022-11-22",0,1,"nominal","2.0NRT",290.11,1.02,"N"
"14",10.99197,32.27773,301.78,0.39,0.59,"2022-11-22",0,1,"nominal","2.0NRT",288.76,0.65,"N"
"15",10.9913,32.28123,301.25,0.39,0.59,"2022-11-22",0,1,"nominal","2.0NRT",289.53,0.54,"N"
"16",10.99063,32.28475,304.67,0.39,0.59,"2022-11-22",0,1,"nominal","2.0NRT",289.75,0.54,"N"
"17",11.49724,28.2269,301.88,0.41,0.45,"2022-11-22",0,1,"nominal","2.0NRT",291,0.45,"N"
"18",10.98492,30.86578,313.82,0.63,0.54,"2022-11-22",0,1,"nominal","2.0NRT",291.33,1.52,"N"
"19",10.98344,30.86332,315.43,0.63,0.54,"2022-11-22",0,1,"nominal","2.0NRT",292.85,3.37,"N"
"20",11.13319,29.6417,308.17,0.51,0.5,"2022-11-22",0,1,"nominal","2.0NRT",289.19,0.87,"N"
"21",11.13234,29.64636,299.68,0.51,0.5,"2022-11-22",0,1,"nominal","2.0NRT",289.41,0.87,"N"
"22",11.32378,28.46852,308.99,0.43,0.46,"2022-11-22",0,1,"nominal","2.0NRT",293.37,0.75,"N"
"23",11.04401,28.49751,325.52,0.43,0.46,"2022-11-22",0,1,"nominal","2.0NRT",292.12,2.65,"N"
"24",10.60656,30.51575,325.12,0.6,0.53,"2022-11-22",0,1,"nominal","2.0NRT",290.69,4.86,"N"
"25",10.60757,30.51037,319.04,0.6,0.53,"2022-11-22",0,1,"nominal","2.0NRT",289.73,4.69,"N"
"26",10.60814,30.51379,338.17,0.6,0.53,"2022-11-22",0,1,"nominal","2.0NRT",290.56,7.09,"N"
"27",10.7466,28.70138,318.63,0.45,0.47,"2022-11-22",0,1,"nominal","2.0NRT",291.86,2.14,"N"
"28",10.53366,28.72501,302.24,0.46,0.47,"2022-11-22",0,1,"nominal","2.0NRT",290.7,0.53,"N"
"29",9.98026,30.96345,321.68,0.33,0.55,"2022-11-22",0,1,"nominal","2.0NRT",290.99,1.69,"N"
"30",9.97972,30.96643,330.44,0.33,0.55,"2022-11-22",0,1,"nominal","2.0NRT",291.18,1.69,"N"
